outlet,group,estimated_country,domain_country,basis,broad,both,only_pair,only_pair_specific,specific_kenya
thehill.com,Third country,US,,estimate_only,3,3,0,0,1
thejakartapost.com,Third country,ID,,estimate_only,3,3,0,0,0
thenewhumanitarian.org,Third country,SY,,estimate_only,3,3,0,0,3
tribtown.com,Third country,US,,estimate_only,3,3,0,0,1
tuoitrenews.vn,Third country,VM,VM,estimate_domain_agree,3,3,0,0,1
varsitarian.net,Third country,RP,,estimate_only,3,3,0,0,0
washingtontimes.com,Third country,US,,estimate_only,3,3,0,0,3
westernadvocate.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,0
wfmj.com,Third country,US,,estimate_only,3,3,0,0,3
wsws.org,Third country,US,,estimate_only,3,3,0,0,1
yakimaherald.com,Third country,US,,estimate_only,3,3,0,0,3
ynet.co.il,Third country,IS,IS,estimate_domain_agree,3,3,0,0,0
1news.az,Third country,AJ,AJ,estimate_domain_agree,2,2,0,0,1
aa.com.tr,Third country,TU,TU,estimate_domain_agree,2,2,0,0,0
abc17news.com,Third country,US,,estimate_only,2,2,0,0,0
accesswdun.com,Third country,US,,estimate_only,2,2,0,0,2
adn.com,Third country,US,,estimate_only,2,2,0,0,2
africabusiness.com,Third country,SF,,estimate_only,2,2,0,0,0
afriquinfos.com,Third country,FR,,estimate_only,2,2,0,0,2
albiladpress.com,Third country,BA,,estimate_only,2,2,0,0,1
aleqt.com,Third country,SA,,estimate_only,2,2,0,0,0
alithia.gr,Third country,GR,GR,estimate_domain_agree,2,2,0,0,0
aljazeera.com,Third country,US,,estimate_only,2,2,0,0,0
allblacks.com,Third country,NZ,,estimate_only,2,2,0,0,0
alriyadh.com,Third country,SA,,estimate_only,2,2,0,0,0
alterpresse.org,Third country,HA,,estimate_only,2,2,0,0,0
annapurnapost.com,Third country,NP,,estimate_only,2,2,0,0,0
antaranews.com,Third country,ID,,estimate_only,2,2,0,0,0
antena3.ro,Third country,RO,RO,estimate_domain_agree,2,2,0,0,0
aol.co.uk,Third country,UK,UK,estimate_domain_agree,2,2,0,0,0
apc.org,Third country,IN,,estimate_only,2,2,0,0,1
araratadvertiser.com.au,Third country,AS,AS,estimate_domain_agree,2,2,0,0,0
areanews.com.au,Third country,AS,AS,estimate_domain_agree,2,2,0,0,0
arkansasonline.com,Third country,US,,estimate_only,2,2,0,0,1
armidaleexpress.com.au,Third country,AS,AS,estimate_domain_agree,2,2,0,0,0
asahi.com,Third country,JA,,estimate_only,2,2,0,0,0
aspendailynews.com,Third country,US,,estimate_only,2,2,0,0,2
athina984.gr,Third country,GR,GR,estimate_domain_agree,2,2,0,0,0
avaz.ba,Third country,BK,BK,estimate_domain_agree,2,2,0,0,0
batemansbaypost.com.au,Third country,AS,AS,estimate_domain_agree,2,2,0,0,0
bbc.co.uk,Third country,UK,UK,estimate_domain_agree,2,2,0,0,0
begadistrictnews.com.au,Third country,AS,AS,estimate_domain_agree,2,2,0,0,0
belfasttelegraph.co.uk,Third country,UK,UK,estimate_domain_agree,2,2,0,0,1
bhaskar.com,Third country,IN,,estimate_only,2,2,0,0,0
blayneychronicle.com.au,Third country,AS,AS,estimate_domain_agree,2,2,0,0,0
blueprint.ng,Third country,NI,NI,estimate_domain_agree,2,2,0,0,1
boj.or.jp,Third country,JA,JA,estimate_domain_agree,2,2,0,0,0
bordermail.com.au,Third country,AS,AS,estimate_domain_agree,2,2,0,0,0
bournemouthecho.co.uk,Third country,UK,UK,estimate_domain_agree,2,2,0,0,2
braidwoodtimes.com.au,Third country,AS,AS,estimate_domain_agree,2,2,0,0,0
businessoffashion.com,Third country,US,,estimate_only,2,2,0,0,0
camdencourier.com.au,Third country,AS,AS,estimate_domain_agree,2,2,0,0,0
